epoch,train_loss,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro
1,0.47966545787366,0.9821582568367797,0.9775473285739581,0.9789912643159774,0.9782533469606819
2,0.13768312994244636,0.9941166324907533,0.991820474076126,0.9940036688120245,0.9928820498363417
3,0.0789257662608197,0.9967229451332861,0.9953673329434878,0.9966774638653878,0.9960099614130775
4,0.05201436195285151,0.9975469998658516,0.9964835983945006,0.9974727552495043,0.9969703495229033
5,0.03626073127630733,0.9992334374580786,0.9990497090697618,0.9993418362249505,0.9991955319552721
6,0.026422905048592855,0.9973361951668231,0.9962410726628607,0.9973357193161453,0.9967806275529031
7,0.01966681019129122,0.9990034686955022,0.9986882753978491,0.9990777203916594,0.998882570816551
8,0.015220064587671967,0.9991951093309825,0.9989825875388689,0.9992910400725332,0.9991365730066235
9,0.011985060187654715,0.9992142733945306,0.9990038676956873,0.9993042398243778,0.9991538271978446
10,0.010174515294185019,0.9992526015216266,0.9991036354139423,0.9993713004092807,0.9992372246989492
