setting,accuracy,precision_macro,recall_macro,f1_macro
centralized,0.9995169734491212,0.9994066948902582,0.9995293782010916,0.9994679999629188
local_best_client_4,0.9994111617560464,0.9994340399228652,0.9994107785011354,0.9994223370548404
local_client_4,0.9994111617560464,0.9994340399228652,0.9994107785011354,0.9994223370548404
flower_best,0.9995221722465175,0.9993337467017033,0.9995029892390115,0.9994182173824014
local_client_8,0.9992531597089238,0.999158285091728,0.9993684333432964,0.9992631405591968
local_client_1,0.9993161705551086,0.9992340069280888,0.9992808894210756,0.9992574222734544
local_client_2,0.9992526015216266,0.9991036354139424,0.9993713004092808,0.9992372246989492
local_client_7,0.9995029928474188,0.99871371029622,0.999681751017505,0.9991966746630302
local_avg,0.9993176578813228,0.9989169514411966,0.9993875022031768,0.9991515713345618
local_client_5,0.999151369799834,0.998841796920074,0.9992963764801184,0.999068790183459
local_client_3,0.999396048431164,0.9985963035745816,0.9991781729673148,0.9988861314501848
local_client_6,0.99925775843046,0.9982538333820732,0.9995123154856888,0.9988808497933792
